Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Latitude,Longitude
0.44,Moderate Concern,0.114,,,,,,,,,,,,,,,,,,
0.22,Low Concern,0.17600000000000002,,,,,,,,,,,,,,,,,,
1.0,Very High Concern,0.128,,,,,,,,,,,,,,,,,,
0.6,High Concern,0.115,,,,,,,,,,,,,,,,,,
0.42,Moderate Concern,0.095,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.17800000000000002,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.127,,,,,,,,,,,,,,,,,,
0.83,Very High Concern,0.173,,,,,,,,,,,,,,,,,,
0.74,High Concern,0.117,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.152,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.095,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.218,,,,,,,,,,,,,,,,,,
0.85,Very High Concern,0.213,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.138,,,,,,,,,,,,,,,,,,
0.54,Moderate Concern,0.133,,,,,,,,,,,,,,,,,,
0.54,Moderate Concern,0.133,,,,,,,,,,,,,,,,,,
0.43,Moderate Concern,0.168,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.17,,,,,,,,,,,,,,,,,,
0.53,Moderate Concern,0.155,,,,,,,,,,,,,,,,,,
0.77,High Concern,0.129,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.124,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.174,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.21,,,,,,,,,,,,,,,,,,
0.95,Very High Concern,0.185,,,,,,,,,,,,,,,,,,
0.8,Very High Concern,0.102,,,,,,,,,,,,,,,,,,
0.54,Moderate Concern,0.126,,,,,,,,,,,,,,,,,,
0.86,Very High Concern,0.132,,,,,,,,,,,,,,,,,,
0.66,High Concern,0.135,,,,,,,,,,,,,,,,,,
0.7,High Concern,0.134,,,,,,,,,,,,,,,,,,
0.84,Very High Concern,0.173,,,,,,,,,,,,,,,,,,
0.8,High Concern,0.14400000000000002,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.147,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.23,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.18600000000000005,,,,,,,,,,,,,,,,,,
0.68,High Concern,0.177,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,0.192,,,,,,,,,,,,,,,,,,
0.66,High Concern,0.177,,,,,,,,,,,,,,,,,,
0.63,High Concern,0.195,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.174,,,,,,,,,,,,,,,,,,
0.5,Moderate Concern,0.166,,,,,,,,,,,,,,,,,,
0.66,High Concern,0.173,,,,,,,,,,,,,,,,,,
0.53,Moderate Concern,0.136,,,,,,,,,,,,,,,,,,
0.92,Very High Concern,0.115,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.182,,,,,,,,,,,,,,,,,,
0.31,Low Concern,0.18,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.197,,,,,,,,,,,,,,,,,,
0.67,High Concern,0.14400000000000002,,,,,,,,,,,,,,,,,,
0.73,High Concern,0.14400000000000002,,,,,,,,,,,,,,,,,,
0.75,High Concern,0.17800000000000002,,,,,,,,,,,,,,,,,,
0.75,High Concern,0.166,,,,,,,,,,,,,,,,,,
0.84,Very High Concern,0.16399999999999998,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.155,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.202,,,,,,,,,,,,,,,,,,
0.92,Very High Concern,0.149,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.14300000000000002,,,,,,,,,,,,,,,,,,
0.72,High Concern,0.14800000000000002,,,,,,,,,,,,,,,,,,
0.91,Very High Concern,0.104,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.102,,,,,,,,,,,,,,,,,,
0.12,Very Low Concern,0.092,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.17,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.133,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.161,,,,,,,,,,,,,,,,,,
