FIPS Code,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Lat,Lng
01001,Alabama,Autauga County,55869,27092,28777,14252,21652,11041,8924,0.0283,0.0025,0.0103,0.19,0.0001,0.746,0.6548,32.5625,-86.5478
01003,Alabama,Baldwin County,223234,108247,114987,52268,77402,46734,46830,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,0.671,30.554945000000004,-87.72395999999999
01005,Alabama,Barbour County,24686,13064,11622,5595,9477,4753,4861,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,0.3463,31.787049999999997,-85.42985
01007,Alabama,Bibb County,22394,11929,10465,4992,9233,4436,3733,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,0.6354,33.059925,-87.145725
01009,Alabama,Blount County,57826,28472,29354,14522,21002,11488,10814,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,0.7923,33.957084615384616,-86.57680769230768
01011,Alabama,Bullock County,10101,5508,4593,2315,4087,1988,1711,0.0256,0.0,0.0049,0.748,0.0,0.2138,0.0434999999999999,32.10795,-85.61925
01013,Alabama,Butler County,19448,9024,10424,4692,6853,3854,4049,0.014,0.0006,0.0035,0.4503,0.0,0.516,0.4046,31.6752,-86.7031
01015,Alabama,Calhoun County,113605,54481,59124,27548,42578,22932,20547,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,0.5716,33.737346153846154,-85.8022
01017,Alabama,Chambers County,33254,15895,17359,7592,11906,7041,6715,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,0.4491,32.92009090909091,-85.34512727272725
01019,Alabama,Cherokee County,26196,12926,13270,5499,8531,6002,6164,0.0159,0.0108,0.0025,0.046,0.0,0.9172,0.7727999999999999,34.199757142857145,-85.63577142857142
01021,Alabama,Chilton County,44428,21800,22628,11572,16423,8833,7600,0.0785,0.0009,0.0044,0.0917,0.0,0.8013,0.7295,32.879324999999994,-86.738875
01023,Alabama,Choctaw County,12589,5938,6651,2738,4061,2821,2969,0.0041,0.0006,0.0013,0.4255,0.0,0.5638,0.3505,31.9661875,-88.2678875
01025,Alabama,Clarke County,23622,11153,12469,5584,8245,4950,4843,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,0.3206,31.6371125,-87.82834999999999
01027,Alabama,Clay County,13235,6447,6788,2956,4578,2916,2785,0.0314,0.0,0.0016,0.1551,0.0,0.8036,0.6739,33.26886,-85.86368
01029,Alabama,Cleburne County,14910,7340,7570,3672,5234,2996,3008,0.0246,0.0009,0.0002,0.0275,0.0,0.9269,0.8138,33.65338,-85.4872
