FIPS Code,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
01001,0.0,0.0,3.0,9.0,20.0,27.0,9.0,14.0,9.0,10.0,10.0,5.0,5.0,14.0,9.0,4.0
01003,0.0,0.0,7.0,12.0,6.0,17.0,54.0,47.0,20.0,20.0,12.0,23.0,23.0,15.0,22.0,2.0
01005,0.0,0.0,0.0,8.0,7.0,10.0,7.0,4.0,5.0,7.0,2.0,1.0,0.0,7.0,3.0,1.0
01007,0.0,0.0,0.0,8.0,0.0,4.0,9.0,12.0,4.0,8.0,9.0,4.0,0.0,1.0,3.0,0.0
01009,0.0,0.0,2.0,5.0,0.0,5.0,16.0,23.0,7.0,3.0,7.0,5.0,6.0,3.0,3.0,2.0
01011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01015,0.0,0.0,2.0,13.0,3.0,2.0,43.0,46.0,24.0,22.0,17.0,14.0,7.0,9.0,6.0,4.0
01017,0.0,0.0,40.0,40.0,7.0,14.0,9.0,5.0,10.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0
01019,0.0,0.0,0.0,3.0,0.0,2.0,9.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
01021,0.0,0.0,5.0,3.0,4.0,9.0,19.0,22.0,8.0,10.0,4.0,9.0,4.0,5.0,2.0,2.0
01023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01025,0.0,0.0,4.0,3.0,9.0,8.0,16.0,13.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,0.0
01027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01031,0.0,0.0,0.0,2.0,3.0,5.0,7.0,12.0,8.0,15.0,3.0,7.0,5.0,7.0,2.0,4.0
01033,0.0,0.0,3.0,3.0,5.0,10.0,27.0,11.0,17.0,10.0,10.0,8.0,4.0,1.0,2.0,1.0
01035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01039,0.0,0.0,0.0,2.0,3.0,8.0,11.0,7.0,7.0,4.0,3.0,4.0,4.0,8.0,4.0,3.0
01041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01043,0.0,0.0,3.0,0.0,2.0,7.0,18.0,6.0,9.0,30.0,11.0,9.0,6.0,2.0,6.0,2.0
01045,0.0,0.0,0.0,6.0,9.0,5.0,20.0,6.0,16.0,5.0,0.0,4.0,4.0,4.0,1.0,0.0
01047,0.0,0.0,0.0,13.0,28.0,42.0,12.0,3.0,6.0,5.0,7.0,6.0,43.0,20.0,8.0,2.0
01049,0.0,0.0,0.0,9.0,5.0,11.0,10.0,10.0,8.0,14.0,8.0,1.0,1.0,11.0,1.0,1.0
01051,0.0,0.0,2.0,8.0,24.0,38.0,26.0,14.0,13.0,10.0,7.0,15.0,9.0,14.0,7.0,0.0
01053,0.0,0.0,0.0,6.0,2.0,16.0,16.0,10.0,4.0,6.0,1.0,2.0,4.0,3.0,3.0,0.0
01055,0.0,0.0,18.0,19.0,3.0,20.0,39.0,33.0,17.0,14.0,24.0,11.0,7.0,18.0,2.0,3.0
01057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01059,0.0,0.0,1.0,9.0,10.0,7.0,7.0,15.0,4.0,9.0,3.0,10.0,4.0,3.0,0.0,0.0
01061,0.0,0.0,0.0,0.0,1.0,2.0,7.0,6.0,5.0,7.0,3.0,2.0,3.0,6.0,1.0,0.0
01063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01069,0.0,0.0,3.0,14.0,9.0,17.0,30.0,31.0,19.0,12.0,3.0,6.0,9.0,6.0,1.0,2.0
01071,0.0,0.0,4.0,3.0,1.0,4.0,10.0,12.0,7.0,10.0,10.0,4.0,1.0,3.0,0.0,0.0
