,Patients,Hospitalized,ICU,Death
01001,2119.0,101.0,0.0,0.0
01003,6413.0,183.0,0.0,57.0
01005,951.0,48.0,0.0,0.0
01007,841.0,45.0,0.0,0.0
01009,2104.0,61.0,0.0,0.0
01011,0.0,0.0,0.0,0.0
01013,0.0,0.0,0.0,0.0
01015,4584.0,155.0,0.0,21.0
01017,1330.0,130.0,0.0,11.0
01019,737.0,30.0,0.0,0.0
01021,1897.0,80.0,0.0,0.0
01023,0.0,0.0,0.0,0.0
01025,1317.0,59.0,0.0,0.0
01027,0.0,0.0,0.0,0.0
01029,0.0,0.0,0.0,0.0
01031,1788.0,52.0,0.0,0.0
01033,2233.0,86.0,0.0,0.0
01035,0.0,0.0,0.0,0.0
01037,0.0,0.0,0.0,0.0
01039,1799.0,42.0,0.0,15.0
01041,0.0,0.0,0.0,0.0
01043,2648.0,75.0,0.0,0.0
01045,1751.0,67.0,0.0,0.0
01047,1698.0,109.0,0.0,0.0
01049,3493.0,67.0,0.0,0.0
01051,3053.0,135.0,0.0,0.0
01053,1601.0,60.0,0.0,0.0
01055,4384.0,163.0,0.0,50.0
01057,0.0,0.0,0.0,0.0
01059,2049.0,62.0,0.0,0.0
01061,952.0,28.0,0.0,0.0
01063,0.0,0.0,0.0,0.0
01065,0.0,0.0,0.0,0.0
01067,0.0,0.0,0.0,0.0
01069,4237.0,135.0,0.0,12.0
01071,2184.0,51.0,0.0,0.0
01073,23885.0,816.0,0.0,222.0
01075,0.0,0.0,0.0,0.0
01077,2684.0,95.0,0.0,0.0
01079,995.0,55.0,0.0,0.0
01081,6479.0,158.0,0.0,17.0
01083,3159.0,108.0,0.0,12.0
01085,0.0,0.0,0.0,0.0
01087,0.0,0.0,0.0,0.0
01089,8767.0,262.0,1.0,32.0
01091,0.0,0.0,0.0,0.0
01093,1037.0,50.0,0.0,0.0
01095,4179.0,103.0,0.0,12.0
01097,16277.0,723.0,0.0,113.0
01099,575.0,22.0,0.0,0.0
01101,9734.0,532.0,0.0,76.0
01103,4474.0,105.0,0.0,12.0
01105,0.0,0.0,0.0,0.0
01107,0.0,0.0,0.0,0.0
01109,1280.0,30.0,0.0,0.0
01111,844.0,46.0,0.0,0.0
01113,1905.0,41.0,0.0,0.0
01115,3136.0,141.0,0.0,54.0
01117,7442.0,179.0,0.0,0.0
01119,0.0,0.0,0.0,0.0
01121,2650.0,99.0,0.0,0.0
01123,1240.0,112.0,0.0,43.0
01125,9900.0,326.0,0.0,0.0
01127,2745.0,170.0,0.0,19.0
01129,0.0,0.0,0.0,0.0
01131,0.0,0.0,0.0,0.0
01133,941.0,43.0,0.0,0.0
02013,0.0,0.0,0.0,0.0
02016,0.0,0.0,0.0,0.0
02020,9401.0,320.0,101.0,0.0
02050,0.0,0.0,0.0,0.0
02060,0.0,0.0,0.0,0.0
02068,0.0,0.0,0.0,0.0
02070,0.0,0.0,0.0,0.0
02090,2436.0,47.0,16.0,0.0
02100,0.0,0.0,0.0,0.0
02105,0.0,0.0,0.0,0.0
02110,567.0,35.0,20.0,0.0
02122,1062.0,25.0,13.0,0.0
02130,0.0,0.0,0.0,0.0
02150,0.0,0.0,0.0,0.0
02158,0.0,0.0,0.0,0.0
02164,0.0,0.0,0.0,0.0
02170,1893.0,32.0,5.0,0.0
02180,0.0,0.0,0.0,0.0
02185,0.0,0.0,0.0,0.0
02188,0.0,0.0,0.0,0.0
02195,0.0,0.0,0.0,0.0
02198,0.0,0.0,0.0,0.0
02220,0.0,0.0,0.0,0.0
02230,0.0,0.0,0.0,0.0
02240,0.0,0.0,0.0,0.0
02261,0.0,0.0,0.0,0.0
02275,0.0,0.0,0.0,0.0
02282,0.0,0.0,0.0,0.0
02290,0.0,0.0,0.0,0.0
04001,4141.0,423.0,0.0,11.0
04003,2407.0,239.0,0.0,0.0
04005,5692.0,615.0,0.0,29.0
04007,2182.0,309.0,0.0,11.0
04009,1263.0,87.0,0.0,0.0
04011,0.0,0.0,0.0,0.0
04012,0.0,0.0,0.0,0.0
04013,163898.0,16768.0,1.0,3321.0
04015,4737.0,625.0,0.0,106.0
04017,6779.0,867.0,0.0,35.0
04019,30051.0,2478.0,0.0,426.0
04021,13276.0,1553.0,0.0,50.0
04023,3128.0,237.0,0.0,0.0
04025,3322.0,357.0,0.0,39.0
04027,14398.0,1231.0,0.0,228.0
05001,0.0,0.0,0.0,0.0
05003,0.0,0.0,0.0,0.0
05005,678.0,57.0,21.0,11.0
05007,7775.0,364.0,138.0,36.0
05009,979.0,62.0,24.0,13.0
05011,0.0,0.0,0.0,0.0
05013,0.0,0.0,0.0,0.0
05015,977.0,65.0,25.0,0.0
05017,0.0,0.0,0.0,0.0
05019,436.0,42.0,16.0,0.0
05021,0.0,0.0,0.0,0.0
05023,415.0,57.0,25.0,0.0
05025,0.0,0.0,0.0,0.0
05027,616.0,52.0,14.0,0.0
05029,321.0,26.0,3.0,0.0
05031,4708.0,403.0,112.0,61.0
05033,2064.0,136.0,33.0,0.0
05035,2403.0,207.0,61.0,0.0
05037,0.0,0.0,0.0,0.0
05039,0.0,0.0,0.0,0.0
05041,0.0,0.0,0.0,0.0
05043,0.0,0.0,0.0,0.0
05045,3222.0,202.0,71.0,26.0
05047,0.0,0.0,0.0,0.0
05049,0.0,0.0,0.0,0.0
05051,2541.0,193.0,51.0,55.0
05053,0.0,0.0,0.0,0.0
05055,1510.0,126.0,38.0,0.0
05057,527.0,32.0,13.0,0.0
05059,1804.0,114.0,40.0,0.0
05061,0.0,0.0,0.0,0.0
05063,1235.0,112.0,45.0,19.0
05065,0.0,0.0,0.0,0.0
05067,0.0,0.0,0.0,0.0
05069,3917.0,401.0,141.0,0.0
05071,964.0,62.0,19.0,0.0
05073,0.0,0.0,0.0,0.0
05075,0.0,0.0,0.0,0.0
05077,0.0,0.0,0.0,0.0
05079,0.0,0.0,0.0,0.0
05081,0.0,0.0,0.0,0.0
05083,573.0,41.0,8.0,0.0
05085,1519.0,148.0,50.0,12.0
05087,0.0,0.0,0.0,0.0
05089,0.0,0.0,0.0,0.0
05091,1265.0,91.0,28.0,0.0
05093,2259.0,238.0,88.0,0.0
05095,0.0,0.0,0.0,0.0
05097,0.0,0.0,0.0,0.0
05099,0.0,0.0,0.0,0.0
05101,0.0,0.0,0.0,0.0
05103,380.0,27.0,7.0,0.0
05105,0.0,0.0,0.0,0.0
05107,0.0,0.0,0.0,0.0
05109,0.0,0.0,0.0,0.0
05111,1109.0,132.0,45.0,18.0
05113,0.0,0.0,0.0,0.0
05115,2586.0,193.0,74.0,0.0
05117,0.0,0.0,0.0,0.0
05119,11598.0,1176.0,352.0,125.0
05121,0.0,0.0,0.0,0.0
05123,1728.0,91.0,47.0,0.0
05125,2745.0,235.0,68.0,18.0
05127,0.0,0.0,0.0,0.0
05129,0.0,0.0,0.0,0.0
05131,4851.0,280.0,72.0,59.0
05133,0.0,0.0,0.0,0.0
05135,0.0,0.0,0.0,0.0
05137,0.0,0.0,0.0,0.0
05139,1100.0,75.0,47.0,0.0
05141,0.0,0.0,0.0,0.0
05143,10495.0,542.0,203.0,24.0
05145,1398.0,90.0,15.0,28.0
05147,0.0,0.0,0.0,0.0
05149,1251.0,91.0,32.0,0.0
06001,23631.0,1691.0,241.0,68.0
06003,0.0,0.0,0.0,0.0
06005,362.0,27.0,7.0,0.0
06007,3231.0,172.0,36.0,11.0
06009,323.0,19.0,1.0,0.0
06011,569.0,29.0,3.0,0.0
06013,19671.0,1572.0,243.0,29.0
06015,173.0,3.0,1.0,0.0
06017,1490.0,75.0,26.0,0.0
06019,34014.0,1721.0,217.0,226.0
06021,699.0,46.0,11.0,0.0
06023,577.0,35.0,10.0,0.0
06025,13295.0,1228.0,186.0,221.0
06027,0.0,0.0,0.0,0.0
06029,34296.0,2474.0,482.0,137.0
06031,8869.0,348.0,47.0,0.0
06033,709.0,43.0,18.0,0.0
06035,774.0,1.0,0.0,0.0
06037,295339.0,32906.0,6798.0,6671.0
06039,5161.0,297.0,54.0,12.0
06041,7204.0,215.0,24.0,39.0
