FIPS Code,Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
1001,0.44,Moderate Vulnerability,0.114,0.0283,0.0025,0.0103,0.19,0.0001,0.746,0.022800000000000042
1003,0.22,Low Vulnerability,0.176,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,0.01629999999999998
1005,1.0,Very High Vulnerability,0.128,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,0.016199999999999992
1007,0.6,High Vulnerability,0.115,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,0.005099999999999993
1009,0.42,Moderate Vulnerability,0.095,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,0.018399999999999972
1011,0.89,Very High Vulnerability,0.178,0.0256,0.0,0.0049,0.748,0.0,0.2138,0.00770000000000004
1013,0.87,Very High Vulnerability,0.127,0.014,0.0006,0.0035,0.4503,0.0,0.516,0.015600000000000058
1015,0.83,Very High Vulnerability,0.173,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,0.023900000000000032
1017,0.74,High Vulnerability,0.117,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,0.010599999999999943
1019,0.45,Moderate Vulnerability,0.152,0.0159,0.0108,0.0025,0.046,0.0,0.9172,0.00759999999999994
1021,0.76,High Vulnerability,0.095,0.0785,0.0009,0.0044,0.0917,0.0,0.8013,0.0232
1023,0.87,Very High Vulnerability,0.218,0.0041,0.0006,0.0013,0.4255,0.0,0.5638,0.0047000000000000375
1025,0.85,Very High Vulnerability,0.213,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,0.006399999999999961
1027,0.56,Moderate Vulnerability,0.138,0.0314,0.0,0.0016,0.1551,0.0,0.8036,0.008299999999999974
1029,0.54,Moderate Vulnerability,0.133,0.0246,0.0009,0.0002,0.0275,0.0,0.9269,0.01990000000000003
1031,0.54,Moderate Vulnerability,0.133,0.0728,0.0116,0.0144,0.168,0.0,0.7015,0.03169999999999995
1033,0.43,Moderate Vulnerability,0.168,0.0284,0.0058,0.0047,0.1608,0.0009,0.782,0.01739999999999997
1035,0.81,Very High Vulnerability,0.17,0.0068,0.002,0.0045,0.4776,0.0,0.5005,0.008600000000000052
1037,0.53,Moderate Vulnerability,0.155,0.0101,0.0007,0.0,0.3361,0.0,0.648,0.005099999999999993
1039,0.77,High Vulnerability,0.129,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329,0.01100000000000001
1041,0.69,High Vulnerability,0.124,0.0079,0.0066,0.0126,0.2313,0.0007,0.7098,0.031100000000000017
1043,0.52,Moderate Vulnerability,0.174,0.0436,0.0028,0.0038,0.0125,0.0,0.9188,0.018500000000000072
1045,0.76,High Vulnerability,0.21,0.0651,0.0057,0.0122,0.1978,0.0001,0.6857,0.033400000000000096
1047,0.95,Very High Vulnerability,0.185,0.0107,0.0009,0.0057,0.7043,0.0001,0.2732,0.005099999999999993
1049,0.8,Very High Vulnerability,0.102,0.1455,0.0107,0.0012,0.0143,0.0021,0.8044,0.02180000000000004
1051,0.54,Moderate Vulnerability,0.126,0.0296,0.0026,0.0054,0.2123,0.0,0.7316,0.01849999999999996
1053,0.86,Very High Vulnerability,0.132,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023,0.010500000000000065
1055,0.66,High Vulnerability,0.135,0.0388,0.0037,0.0074,0.1544,0.0002,0.7786,0.016900000000000026
1057,0.7,High Vulnerability,0.134,0.018,0.0,0.0047,0.1117,0.0004,0.845,0.020199999999999996
1059,0.84,Very High Vulnerability,0.173,0.1716,0.0028,0.0037,0.0429,0.0,0.7685,0.010500000000000065
1061,0.8,High Vulnerability,0.144,0.0398,0.0089,0.0044,0.0941,0.0005,0.8385,0.013800000000000034
1063,0.99,Very High Vulnerability,0.147,0.0174,0.0044,0.0,0.7946,0.0,0.1724,0.011199999999999988
1065,0.96,Very High Vulnerability,0.23,0.0003,0.002,0.0022,0.5937,0.0,0.3953,0.006500000000000061
1067,0.55,Moderate Vulnerability,0.186,0.0262,0.0018,0.004,0.2655,0.001,0.6917,0.009800000000000031
1069,0.68,High Vulnerability,0.177,0.0332,0.0025,0.0087,0.2676,0.0004,0.6646,0.02300000000000002
1071,0.57,Moderate Vulnerability,0.192,0.0293,0.0112,0.0045,0.0342,0.0011,0.8925,0.027200000000000002
1073,0.66,High Vulnerability,0.177,0.0387,0.0016,0.0157,0.428,0.0003,0.4989,0.016799999999999926
1075,0.63,High Vulnerability,0.195,0.0165,0.0002,0.0012,0.1065,0.0,0.8599,0.015700000000000047
1077,0.45,Moderate Vulnerability,0.174,0.0268,0.0039,0.0064,0.1014,0.0007,0.8472,0.013600000000000056
