,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
0,0.0283,0.0025,0.0103,0.19,0.0001,0.746,0.6548
1,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,0.671
2,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,0.34630000000000005
3,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,0.6354
4,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,0.7923
5,0.0256,0.0,0.0049,0.748,0.0,0.2138,0.04349999999999998
6,0.013999999999999999,0.0006,0.0035,0.4503,0.0,0.516,0.40460000000000007
7,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,0.5716
8,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,0.44910000000000005
9,0.0159,0.0108,0.0025,0.046,0.0,0.9172,0.7727999999999999
10,0.0785,0.0009,0.0044,0.0917,0.0,0.8013,0.7295
11,0.0041,0.0006,0.0013,0.4255,0.0,0.5638,0.35050000000000003
12,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,0.3206
13,0.0314,0.0,0.0016,0.1551,0.0,0.8036,0.6739
14,0.0246,0.0009,0.0002,0.0275,0.0,0.9269,0.8138
15,0.0728,0.0116,0.0144,0.168,0.0,0.7015,0.6002
16,0.0284,0.0058,0.0047,0.1608,0.0009,0.782,0.6314
17,0.0068,0.002,0.0045,0.4776,0.0,0.5005,0.33909999999999996
18,0.0101,0.0007,0.0,0.3361,0.0,0.648,0.4981
19,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329,0.7149
20,0.0079,0.0066,0.0126,0.2313,0.0007,0.7098,0.6169
21,0.0436,0.0028,0.0038,0.0125,0.0,0.9188,0.7633
22,0.0651,0.0057,0.0122,0.1978,0.0001,0.6857,0.5091
23,0.0107,0.0009,0.0057,0.7043,0.0001,0.2732,0.09329999999999994
24,0.1455,0.0107,0.0012,0.0143,0.0021,0.8044,0.7242000000000001
25,0.0296,0.0026,0.0054,0.2123,0.0,0.7316,0.6241
26,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023,0.4808000000000001
27,0.0388,0.0037,0.0074,0.1544,0.0002,0.7786,0.6605
28,0.018000000000000002,0.0,0.0047,0.1117,0.0004,0.845,0.7312
29,0.1716,0.0028,0.0037,0.0429,0.0,0.7685,0.606
30,0.0398,0.0089,0.0044,0.0941,0.0005,0.8385,0.7082999999999999
31,0.0174,0.0044,0.0,0.7946,0.0,0.1724,0.03660000000000008
32,0.0003,0.002,0.0022,0.5937,0.0,0.3953,0.17179999999999995
33,0.0262,0.0018,0.004,0.2655,0.001,0.6917,0.5155
34,0.0332,0.0025,0.0087,0.2676,0.0004,0.6646,0.5105999999999999
35,0.0293,0.0112,0.0045,0.0342,0.0011,0.8925,0.7277
36,0.0387,0.0016,0.0157,0.428,0.0003,0.4989,0.3387
37,0.0165,0.0002,0.0012,0.1065,0.0,0.8599,0.6806
38,0.0268,0.0039,0.0064,0.1014,0.0007,0.8472,0.6868000000000001
39,0.0219,0.055999999999999994,0.002,0.1058,0.0008,0.7649,0.6475
40,0.0368,0.0018,0.0411,0.2273,0.0,0.6744,0.52
41,0.0602,0.0068,0.0137,0.136,0.0006,0.7654,0.6467
42,0.005,0.0013,0.0,0.7436,0.0,0.2466,0.1351
43,0.0081,0.0009,0.0017,0.8254,0.0,0.1585,-0.018100000000000005
44,0.0495,0.0056,0.0262,0.2405,0.0008,0.6468,0.49739999999999995
45,0.0101,0.0011,0.0,0.5356,0.0,0.4488,0.2562000000000001
46,0.026000000000000002,0.0047,0.0018,0.0343,0.0,0.9185,0.7892
47,0.1397,0.0036,0.006,0.0267,0.0005,0.8075,0.6795
48,0.028999999999999998,0.0076,0.0189,0.3554,0.0001,0.5689,0.41100000000000003
49,0.0038,0.0175,0.0027,0.4236,0.0003,0.5427,0.3861
50,0.0352,0.0014,0.027999999999999997,0.5779,0.0002,0.33899999999999997,0.19330000000000003
51,0.0836,0.0047,0.0064,0.1269,0.0006,0.7563,0.6228
52,0.0118,0.0003,0.0009,0.6931,0.0,0.2934,0.09189999999999998
53,0.0487,0.0014,0.0006,0.3984,0.0006,0.5365,0.4013
54,0.0225,0.0056,0.022000000000000002,0.3658,0.0001,0.5602,0.44100000000000006
55,0.0295,0.0017,0.0021,0.1967,0.0,0.7529,0.622
56,0.0549,0.0026,0.0087,0.4341,0.0004,0.4607,0.3953
57,0.0242,0.0035,0.008,0.0957,0.0001,0.8587,0.7665
58,0.0572,0.0026,0.0206,0.1202,0.0002,0.7787,0.7072
59,0.0053,0.0007,0.0214,0.7192,0.0,0.2481,0.08340000000000003
60,0.0229,0.0043,0.0061,0.3237,0.0003,0.6263,0.5097
61,0.0242,0.0022,0.0036,0.2697,0.0,0.6887,0.5393
62,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,0.4768000000000001
63,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,0.749
64,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,0.48239999999999994
65,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.07169999999999999
66,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,0.8707
67,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,0.017100000000000004
68,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,0.1423000000000001
69,0.0917,0.0737,0.0943,0.0528,0.0241,0.579,0.36340000000000006
70,0.026000000000000002,0.825,0.0108,0.0074,0.0022,0.0973,-0.37440000000000007
71,0.0366,0.3417,0.0023,0.0057,0.0023,0.5086,0.1484000000000001
72,0.0031,0.0218,0.0258,0.0116,0.0,0.8424,0.7537
73,0.0371,0.7091,0.0135,0.0159,0.0006,0.154,-0.1572
74,0.0805,0.0727,0.0309,0.0428,0.0051,0.6993,0.565
75,0.0449,0.087,0.0131,0.0,0.0016,0.7752,0.3323999999999999
76,0.0683,0.3595,0.0159,0.0304,0.0,0.4381,0.03289999999999993
77,0.0678,0.1026,0.0645,0.0098,0.0099,0.6468,0.4483999999999999
78,0.0415,0.0772,0.0157,0.0054,0.0033,0.7992,0.6069
79,0.0527,0.1343,0.0798,0.0075,0.002,0.6396,0.41570000000000007
80,0.0891,0.1197,0.2269,0.0021,0.0033,0.4903,0.18990000000000007
81,0.0113,0.919,0.0013,0.001,0.0006,0.0358,0.06679999999999997
82,0.0014,0.6978,0.0165,0.0115,0.0036,0.2096,-0.16080000000000005
83,0.0493,0.0604,0.0137,0.0115,0.0022,0.7922,0.6799
84,0.0274,0.7435,0.0153,0.0083,0.0014,0.1466,-0.41790000000000016
85,0.0203,0.5083,0.0538,0.0144,0.0186,0.3091,0.12260000000000015
86,0.0145,0.8207,0.01,0.0108,0.001,0.1077,-0.3039999999999998
87,0.11699999999999999,0.0731,0.0457,0.0101,0.0058,0.6549,0.1683
88,0.0386,0.3849,0.0142,0.0045,0.0062,0.4526,0.2026000000000001
89,0.0676,0.12300000000000001,0.0666,0.0071,0.0009,0.6157,0.18479999999999996
90,0.0569,0.0506,0.0081,0.0334,0.0,0.8211,0.2480000000000001
91,0.0606,0.1387,0.0266,0.0032,0.0006,0.7366,0.5783
92,0.0524,0.1389,0.0407,0.0038,0.0063,0.6931,0.43990000000000007
93,0.0504,0.2218,0.0072,0.0004,0.0036,0.6187,0.3086000000000001
94,0.077,0.3606,0.0493,0.0077,0.0123,0.433,-0.08789999999999987
95,0.0266,0.6837,0.0071,0.0007,0.0004,0.2155,-0.25550000000000006
96,0.0634,0.7311,0.0034,0.0052,0.0002,0.1821,-0.3183
97,0.3545,0.0091,0.0193,0.0367,0.0033,0.5499,0.3781000000000001
98,0.1411,0.2576,0.0187,0.0112,0.0017,0.5405,0.17869999999999986
99,0.1875,0.1607,0.0079,0.0065,0.0,0.6225,0.2864
100,0.3301,0.1253,0.0063,0.0182,0.0012,0.5086,0.2399000000000001
101,0.46799999999999997,0.0358,0.0055,0.0205,0.0,0.4662,0.1412000000000001
102,0.2758,0.115,0.0073,0.0088,0.0005,0.574,0.38660000000000005
103,0.3099,0.0162,0.0409,0.0531,0.002,0.5524,0.3788999999999999
104,0.1645,0.02,0.0107,0.01,0.002,0.7729,0.6768000000000001
105,0.1142,0.4353,0.0059,0.0074,0.0013,0.4128,0.06790000000000007
106,0.3725,0.0245,0.0279,0.0326,0.0014,0.5173,0.30310000000000004
107,0.3016,0.043,0.0158,0.0408,0.0029,0.5679,0.4098999999999998
108,0.8346,0.0022,0.0083,0.0024,0.0,0.1485,-0.14249999999999985
109,0.1454,0.0127,0.0092,0.0062,0.0006,0.8046,0.6079000000000001
110,0.6376,0.0092,0.0119,0.0168,0.0006,0.3097,0.14990000000000003
111,0.0319,0.0017,0.0004,0.2588,0.0,0.6976,0.5112
112,0.0543,0.0022,0.0019,0.2527,0.0,0.6823,0.5369
113,0.0238,0.0042,0.0043,0.0016,0.0004,0.9471,0.7977
114,0.1662,0.0126,0.0384,0.0165,0.0061,0.7333,0.6262
115,0.0249,0.0057,0.0037,0.0033,0.0009,0.9387,0.8105
116,0.1539,0.0,0.0006,0.28800000000000003,0.0,0.555,0.37649999999999995
